"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW7";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
2;"SW4,SW6,SW1,SW3,SW2,SW5";"SW_Cherry_MX_1.00u_PCB";6;"SW_Push";;;
3;"U1";"XIAO-RP2040-DIP";1;"XIAO-RP2040-DIP";;;
4;"D3,D4";"SK6812MINI-E_fixed";2;"SK6812MINI-E";;;
